player_id,inn_outs,po,a,e,dp,zr,FPCT%,RF,CS%
paintla01,1351.0,35.0,88.0,4.0,9.0,0.0,0.968503937007874,0.8193930421909696,
palacre01,1046.0,235.0,23.0,3.0,10.0,1.0,0.9885057471264368,2.2198852772466537,0.2222222222222222
palacvi01,1117.0,25.0,45.0,3.0,2.0,0.0,0.958904109589041,0.5640107430617726,
palagmi01,0.0,0.0,0.0,0.0,0.0,0.0,,,
palicer01,1061.0,39.0,113.0,13.0,8.0,0.0,0.9212121212121213,1.289349670122526,
palldo01,1516.0,32.0,62.0,5.0,5.0,0.0,0.9494949494949495,0.558047493403694,
palme01,0.0,1.0,2.0,1.0,0.0,0.0,0.75,inf,
palmeda01,3255.0,103.0,163.0,10.0,12.0,0.0,0.9637681159420289,0.7354838709677419,
palmede01,31076.0,952.0,1925.0,193.0,171.0,0.0,0.9371335504885994,0.833215343029991,
palmeed01,0.0,16.0,32.0,6.0,1.0,0.0,0.8888888888888888,inf,
palmeem01,0.0,2.0,48.0,3.0,2.0,0.0,0.9433962264150944,inf,
palmeji01,11844.0,292.0,577.0,34.0,53.0,0.0,0.9623477297895903,0.6603343465045592,
palmelo01,950.0,17.0,37.0,1.0,3.0,0.0,0.9818181818181818,0.511578947368421,
palmema01,558.0,13.0,19.0,2.0,3.0,0.0,0.9411764705882353,0.5161290322580645,
palmeor01,16903.0,1381.0,35.0,11.0,5.0,0.0,0.9922915206727401,0.753949003135538,
palmera01,65843.0,18527.0,1606.0,129.0,1789.0,0.0,0.9936334024281906,2.7519554090791734,
palmijo01,0.0,45.0,4.0,2.0,2.0,0.0,0.9607843137254902,inf,
palmmi01,0.0,0.0,0.0,0.0,0.0,0.0,,,
palmqed01,206.0,3.0,13.0,1.0,2.0,0.0,0.9411764705882353,0.6990291262135923,
palysst01,3835.0,326.0,7.0,4.0,0.0,0.0,0.9881305637982196,0.7814863102998696,
paniajo01,1070.0,26.0,37.0,2.0,3.0,0.0,0.9692307692307692,0.5299065420560748,
panikjo01,1737.0,322.0,453.0,10.0,117.0,0.0,0.9872611464968153,4.015544041450777,
pankoji01,3849.0,284.0,219.0,22.0,49.0,0.0,0.9580952380952381,1.176149649259548,
panthji01,390.0,8.0,19.0,2.0,0.0,0.0,0.9310344827586207,0.6230769230769231,
papaial01,35.0,18.0,61.0,3.0,6.0,0.0,0.9634146341463414,20.314285714285713,
papajo01,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,
papeke01,154.0,9.0,23.0,2.0,4.0,0.0,0.9411764705882353,1.87012987012987,
papela01,0.0,12.0,99.0,9.0,0.0,0.0,0.925,inf,
papeljo01,1878.0,37.0,44.0,9.0,1.0,0.0,0.9,0.38817891373801916,
papisfr01,0.0,28.0,102.0,7.0,8.0,0.0,0.948905109489051,inf,
papist01,3542.0,217.0,355.0,20.0,62.0,0.0,0.9662162162162162,1.453416149068323,
pappaer01,2576.0,491.0,37.0,10.0,7.0,0.0,0.9814126394052045,1.84472049689441,0.28205128205128205
pappajo01,0.0,1.0,3.0,0.0,0.0,0.0,1.0,inf,
pappami01,9558.0,245.0,486.0,23.0,38.0,0.0,0.9694960212201591,0.6883239171374764,
paquecr01,19304.0,1338.0,827.0,83.0,166.0,0.0,0.9630782918149466,1.0093762950683796,
pardoal01,936.0,206.0,12.0,4.0,1.0,0.0,0.9819819819819819,2.0961538461538463,0.1590909090909091
paredji01,2928.0,142.0,136.0,17.0,13.0,0.0,0.9423728813559322,0.8545081967213115,
paredjo01,900.0,62.0,103.0,6.0,27.0,0.0,0.9649122807017544,1.65,
parenfr01,0.0,2550.0,3894.0,488.0,382.0,0.0,0.9296018465089441,inf,
parenma01,9683.0,2268.0,196.0,25.0,28.0,6.0,0.9899558055443953,2.29019931839306,0.3427835051546392
pariske01,1354.0,132.0,108.0,13.0,21.0,0.0,0.9486166007905138,1.5952732644017724,
