player_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS
adamska01,30,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,0.031,0.03,0.031,0.061
adamsla01,6,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsma01,337,1084.0,123.0,299.0,63.0,5.0,39.0,156.0,4.0,3.0,259.0,22.0,73.0,8.0,489.0,107.0,0.276,0.319,0.451,0.77
adamsmi01,11,6.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,1.0,0.333,0.286,0.667,0.953
adamsmi02,100,118.0,27.0,23.0,5.0,0.0,3.0,9.0,2.0,1.0,29.0,2.0,34.0,0.0,37.0,8.0,0.195,0.375,0.314,0.689
adamsmi03,410,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsre01,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsri01,11,23.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.174,0.296,0.174,0.47
adamsri02,120,247.0,35.0,53.0,5.0,1.0,4.0,16.0,3.0,2.0,37.0,5.0,18.0,7.0,72.0,10.0,0.215,0.261,0.291,0.552
adamsru01,286,884.0,125.0,218.0,46.0,7.0,17.0,113.0,15.0,5.0,118.0,14.0,92.0,19.0,329.0,70.0,0.247,0.312,0.372,0.684
adamsry01,29,89.0,9.0,25.0,4.0,0.0,0.0,7.0,0.0,0.0,25.0,7.0,7.0,0.0,29.0,4.0,0.281,0.333,0.326,0.659
adamssp01,1424,5557.0,844.0,1588.0,249.0,48.0,9.0,394.0,154.0,50.0,223.0,14.0,481.0,136.0,1960.0,306.0,0.286,0.335,0.353,0.688
adamssp02,180,395.0,61.0,101.0,16.0,5.0,0.0,38.0,5.0,10.0,50.0,0.0,40.0,12.0,127.0,21.0,0.256,0.315,0.322,0.637
adamste01,574,78.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,41.0,1.0,7.0,13.0,5.0,1.0,0.051,0.112,0.064,0.176
adamswi01,65,88.0,4.0,9.0,1.0,1.0,0.0,2.0,0.0,0.0,18.0,0.0,3.0,1.0,12.0,2.0,0.102,0.13,0.136,0.266
adcocjo01,1959,6606.0,823.0,1832.0,295.0,35.0,336.0,1122.0,20.0,25.0,1059.0,223.0,666.0,87.0,3205.0,666.0,0.277,0.339,0.485,0.824
adcocna01,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addisbo01,208,534.0,70.0,150.0,22.0,2.0,2.0,47.0,8.0,6.0,47.0,9.0,37.0,5.0,182.0,26.0,0.281,0.325,0.341,0.666
adducji01,70,144.0,11.0,34.0,8.0,1.0,1.0,15.0,0.0,1.0,27.0,1.0,2.0,4.0,47.0,10.0,0.236,0.24,0.326,0.566
adducji02,61,132.0,15.0,25.0,4.0,0.0,1.0,8.0,5.0,1.0,36.0,2.0,13.0,3.0,32.0,5.0,0.189,0.257,0.242,0.499
addybo01,274,1231.0,227.0,341.0,35.0,12.0,1.0,172.0,30.0,15.0,7.0,0.0,19.0,0.0,403.0,48.0,0.277,0.288,0.327,0.615
aderhmo01,106,262.0,36.0,70.0,7.0,3.0,3.0,32.0,3.0,1.0,29.0,1.0,19.0,0.0,92.0,13.0,0.267,0.317,0.351,0.668
adkinde01,38,22.0,2.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,10.0,0.0,0.0,1.0,9.0,2.0,0.227,0.217,0.409,0.626
adkindi01,3,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.143,0.333,0.143,0.476
adkindo01,6,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.167,0.167,0.167,0.334
adkingr01,76,116.0,9.0,21.0,3.0,3.0,0.0,6.0,1.0,0.0,26.0,0.0,7.0,10.0,30.0,6.0,0.181,0.211,0.259,0.47
adkinhe01,1,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8
adkinjo01,119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adlesda01,106,256.0,9.0,43.0,3.0,1.0,1.0,11.0,0.0,0.0,80.0,9.0,25.0,3.0,51.0,5.0,0.168,0.239,0.199,0.438
adriaeh01,114,228.0,24.0,48.0,14.0,1.0,1.0,19.0,4.0,3.0,47.0,5.0,27.0,6.0,67.0,16.0,0.211,0.287,0.294,0.581
afenitr01,45,79.0,4.0,15.0,2.0,2.0,0.0,7.0,0.0,0.0,32.0,1.0,5.0,2.0,21.0,4.0,0.19,0.233,0.266,0.499
affelje01,774,17.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0,0.176,0.263,0.176,0.439
agbaybe01,383,1091.0,145.0,299.0,57.0,6.0,39.0,156.0,16.0,16.0,246.0,31.0,161.0,9.0,485.0,102.0,0.274,0.365,0.445,0.81
