player_id,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB
baekch01,16,18,59,1,0,0,839.0,294,150,35,184,96.0,4.83,1.395,0.269,5.92,3.09,1.92
baezbe01,0,0,8,0,0,0,28.0,22,14,3,14,6.0,13.5,3.0,0.449,13.5,5.79,2.33
baezda01,40,57,533,1,0,114,2091.0,652,329,71,505,366.0,4.25,1.461,0.251,6.52,4.73,1.38
baezpe01,4,2,72,0,0,0,225.0,63,26,7,78,19.0,3.12,1.093,0.231,9.36,2.28,4.11
bagbyji01,127,88,316,133,16,29,5465.0,1884,629,47,450,491.0,3.11,1.304,0.268,2.22,2.43,0.92
bagbyji02,97,96,303,84,13,9,4999.0,1815,733,98,431,636.0,3.96,1.471,0.274,2.33,3.44,0.68
bahnsst01,146,149,574,73,16,20,7587.0,2440,1013,223,1359,1017.0,3.6,1.367,0.252,4.84,3.62,1.34
bahred01,11,11,46,8,0,0,657.0,210,82,13,69,103.0,3.37,1.429,0.252,2.84,4.23,0.67
baichgr01,0,0,4,0,0,0,21.0,9,4,0,3,3.0,5.14,1.714,0.346,3.86,3.86,1.0
bailean01,11,13,216,0,0,89,680.0,170,69,22,233,83.0,2.74,1.116,0.209,9.25,3.3,2.81
bailebi01,38,76,203,70,8,0,3253.0,1035,430,20,570,571.0,3.57,1.481,0.339,4.73,4.74,1.0
baileco01,9,10,172,0,0,1,621.0,208,91,13,150,136.0,3.96,1.662,0.273,6.52,5.91,1.1
baileha01,6,4,16,8,0,0,320.0,107,49,7,35,54.0,4.13,1.509,-1.981,2.95,4.56,0.65
baileho01,6,9,50,0,0,1,356.0,120,69,15,41,51.0,5.23,1.441,0.265,3.11,3.87,0.8
baileho02,58,51,168,6,4,0,3030.0,999,470,117,832,383.0,4.19,1.368,0.26,7.41,3.41,2.17
baileji01,0,1,3,0,0,0,35.0,17,8,1,7,8.0,6.17,2.143,0.34,5.4,6.17,0.88
baileki01,1,0,1,1,0,0,24.0,13,5,0,0,0.0,5.62,1.625,inf,0.0,0.0,
bailero01,18,19,92,5,2,1,1068.0,392,194,43,162,181.0,4.9,1.61,0.28,4.1,4.58,0.9
bailesc01,39,44,343,5,2,13,2039.0,758,374,89,351,293.0,4.95,1.546,0.279,4.65,3.88,1.2
bailest01,2,6,34,0,0,2,209.0,66,30,6,47,51.0,3.88,1.679,0.253,6.07,6.59,0.92
bailesw01,4,7,52,0,0,0,412.0,171,70,4,35,47.0,4.59,1.587,0.31,2.29,3.08,0.74
bailobo01,0,0,3,0,0,0,7.0,4,2,0,0,1.0,7.71,2.143,0.364,0.0,3.86,0.0
bainlo01,0,0,3,0,0,0,24.0,10,7,1,1,5.0,7.88,1.875,0.303,1.12,5.62,0.2
bairdbo01,0,4,8,0,0,0,67.0,25,18,1,10,16.0,7.25,1.836,0.269,4.03,6.45,0.62
bairdo01,55,43,584,0,0,81,2728.0,839,367,86,689,489.0,3.63,1.46,0.246,6.82,4.84,1.41
bajenje01,0,2,14,0,0,0,41.0,23,17,5,11,7.0,11.2,2.195,0.377,7.24,4.61,1.57
bakelje01,76,125,215,191,7,0,5348.0,1909,725,43,669,579.0,3.66,1.396,0.431,3.38,2.92,1.16
bakenda01,0,0,2,0,0,0,9.0,9,2,1,0,1.0,6.0,3.333,0.474,0.0,3.0,0.0
bakeral01,0,0,3,0,0,0,23.0,13,8,2,2,3.0,9.39,2.087,0.371,2.35,3.52,0.67
bakerbo01,0,2,2,1,0,0,42.0,29,12,0,1,13.0,7.71,3.0,0.408,0.64,8.36,0.08
bakerer01,0,0,1,0,0,0,12.0,7,2,1,1,1.0,4.5,2.0,0.412,2.25,2.25,1.0
bakerje01,2,7,22,3,0,1,282.0,101,41,3,51,34.0,3.93,1.436,0.288,4.88,3.26,1.5
bakerjo01,1,0,1,0,0,0,3.0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,9.0,0.0
bakerki01,9,38,58,34,2,0,1113.0,483,254,20,115,209.0,6.16,1.865,0.726,2.79,5.07,0.55
bakerne01,0,0,5,0,0,0,52.0,27,11,2,3,7.0,5.71,1.962,0.351,1.56,3.63,0.43
bakerno01,14,15,30,28,1,0,759.0,250,96,3,94,96.0,3.42,1.368,0.292,3.34,3.42,0.98
bakersc01,0,0,1,0,0,0,11.0,5,4,0,3,6.0,9.82,3.0,0.312,7.36,14.73,0.5
bakersc02,66,53,193,4,2,0,3194.0,1089,504,145,839,285.0,4.26,1.291,0.265,7.09,2.41,2.94
bakerst01,7,16,84,0,0,6,711.0,262,135,26,131,143.0,5.13,1.709,0.28,4.97,5.43,0.92
bakerto01,3,9,68,3,0,2,519.0,195,91,6,58,95.0,4.73,1.676,0.28,3.02,4.94,0.61
bakerto02,0,1,10,0,0,0,54.0,20,6,2,14,8.0,3.0,1.556,0.274,7.0,4.0,1.75
balasmi01,0,0,1,0,0,0,4.0,3,1,0,0,0.0,6.75,2.25,0.375,0.0,0.0,
baldsja01,48,41,457,0,0,60,2112.0,687,289,45,555,388.0,3.69,1.527,0.257,7.1,4.96,1.43
baldwda01,6,11,176,0,0,22,674.0,190,77,17,164,111.0,3.08,1.34,0.23,6.57,4.45,1.48
baldwha01,3,1,11,1,0,0,104.0,45,17,5,5,12.0,4.41,1.644,0.31,1.3,3.12,0.42
baldwja01,79,74,266,7,2,2,3968.0,1443,737,203,844,557.0,5.01,1.512,0.277,5.74,3.79,1.52
baldwki01,0,0,2,0,0,0,12.0,5,4,0,1,6.0,9.0,2.75,0.294,2.25,13.5,0.17
baldwla01,73,41,118,112,9,1,3051.0,921,322,31,582,240.0,2.85,1.142,0.237,5.15,2.12,2.42
baldwma01,156,165,347,296,14,4,8434.0,2699,1051,82,1354,1349.0,3.36,1.44,0.476,4.33,4.32,1.0
baldwof01,1,3,4,0,0,0,44.0,16,10,0,5,14.0,6.14,2.045,0.302,3.07,8.59,0.36
baldwri01,4,7,105,0,0,7,548.0,173,73,10,86,100.0,3.6,1.495,0.254,4.24,4.93,0.86
balejo01,3,7,109,0,0,1,521.0,183,90,16,148,88.0,4.66,1.56,0.278,7.67,4.56,1.68
balesco01,8,17,88,0,0,0,602.0,210,122,39,157,107.0,5.47,1.58,0.269,7.04,4.8,1.47
balfogr01,30,23,534,0,0,84,1619.0,406,209,47,571,274.0,3.49,1.26,0.21,9.52,4.57,2.08
ballaje01,41,53,197,10,2,2,2320.0,914,405,92,244,269.0,4.71,1.53,0.296,2.84,3.13,0.91
balleja01,4,9,94,0,0,6,469.0,169,91,26,117,98.0,5.24,1.708,0.276,6.74,5.64,1.19
ballima01,1,2,18,0,0,0,104.0,30,18,3,25,15.0,4.67,1.298,0.224,6.49,3.89,1.67
ballowi01,19,20,99,10,0,2,989.0,398,187,22,109,173.0,5.11,1.732,0.3,2.98,4.72,0.63
balsato01,0,1,18,0,0,0,88.0,34,21,1,27,23.0,6.44,1.943,0.291,8.28,7.06,1.17
bambege01,0,0,10,0,0,1,43.0,25,15,4,3,10.0,9.42,2.442,0.397,1.88,6.28,0.3
bandosa01,0,0,1,0,0,0,9.0,3,2,0,0,0.0,6.0,1.0,0.231,0.0,0.0,
baneed01,7,13,44,1,0,2,504.0,182,87,13,80,89.0,4.66,1.613,0.274,4.29,4.77,0.9
baneydi01,4,1,42,0,0,3,271.0,98,43,7,38,38.0,4.28,1.506,0.278,3.79,3.79,1.0
bankhda01,9,5,52,2,1,4,460.0,161,111,22,111,113.0,6.52,1.787,0.272,6.52,6.63,0.98
bankhsc01,57,48,267,7,3,1,2703.0,876,418,111,614,330.0,4.18,1.339,0.251,6.13,3.3,1.86
banksbi01,1,3,5,3,0,0,90.0,49,27,2,10,17.0,8.1,2.2,-2.882,3.0,5.1,0.59
banksjo01,4,8,27,1,0,0,358.0,143,75,20,55,52.0,5.66,1.634,0.31,4.15,3.92,1.06
bankswi01,33,39,181,1,1,2,1831.0,632,322,65,428,333.0,4.75,1.581,0.265,6.31,4.91,1.29
bannibr01,37,50,117,2,0,0,2002.0,724,377,86,384,254.0,5.08,1.466,0.276,5.18,3.43,1.51
bannifl01,134,143,431,62,16,0,7164.0,2320,1078,291,1723,925.0,4.06,1.359,0.25,6.49,3.49,1.86
bannoji01,0,1,3,0,0,0,27.0,18,12,2,2,8.0,12.0,2.889,-2.25,2.0,8.0,0.25
bantaja01,14,12,69,3,1,5,614.0,176,86,15,116,123.0,3.78,1.461,0.228,5.1,5.41,0.94
banuema01,1,4,7,0,0,0,79.0,30,15,4,19,15.0,5.13,1.709,0.283,6.49,5.13,1.27
baptitr01,0,1,13,0,0,0,81.0,34,17,5,11,12.0,5.67,1.704,0.306,3.67,4.0,0.92
barbebr02,5,8,26,0,0,1,279.0,111,70,15,59,52.0,6.77,1.753,0.298,5.71,5.03,1.13
barbefr01,1,1,4,1,0,0,52.0,26,12,0,1,7.0,6.23,1.904,0.356,0.52,3.63,0.14
barbest01,121,106,466,59,21,13,5997.0,1818,747,125,1309,1051.0,3.36,1.435,0.241,5.89,4.73,1.25
