player_id,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV
wilheho01,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thomafr04,20.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
maricju01,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johnswa01,21.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
lajoina01,22.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
wanerpa01,22.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eckerde01,25.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
spahnwa01,22.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
killeha01,22.0,13.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
piazzmi01,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maranra01,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoltjo01,22.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
biggicr01,20.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stargwi01,21.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
puckeki01,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speaktr01,22.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
morgajo02,22.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanceda01,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suttodo01,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
mccovwi01,23.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
fingero01,17.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
alexape01,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
niekrph01,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
dickebi01,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brocklo01,20.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blylebe01,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
fiskca01,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cochrmi01,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matheed01,18.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
camparo01,10.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foxxji01,21.0,9.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
deandi01,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cronijo01,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemonbo01,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drysddo01,14.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hornsro01,24.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cartega01,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dawsoan01,21.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fordwh01,16.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
collied01,25.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hartnga01,20.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pennohe01,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robinja02,10.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yountro01,20.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
terrybi01,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boudrlo01,15.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perryga01,25.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
perezto01,23.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
suttebr01,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
traynpi01,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
riceji01,16.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grovele01,17.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hunteca01,15.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sandbry01,16.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youngcy01,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
wynnea01,23.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
keelewi01,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kinerra01,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jenkife01,20.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
simmoal01,21.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
foxne01,19.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunniji01,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cepedor01,19.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ruffire01,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chancfr01,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bagweje01,15.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
applilu01,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raineti01,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slaugen01,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morrija02,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gehrich01,19.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wadderu01,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hodgegi01,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walshed01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roushed01,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eversjo01,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bresnro01,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ricesa01,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delahed01,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rixeyep01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schilcu01,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
careyma01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smithle02,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
colliji01,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reesepe01,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olivato01,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gomezle01,14.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clemero02,24.0,11.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0
schalra01,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bendech01,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bondsba01,22.0,14.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
mizejo01,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
martied01,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
santoro01,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marisro01,13.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
