,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS,VOTE%,inducted
brownmi02,315.0,903.0,105.0,239.0,49.0,7.0,23.0,113.0,5.0,8.0,135.0,38.0,86.0,15.0,371.0,79.0,0.265,0.324,0.41100000000000003,0.735,,
brownol01,7.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.08,0.08,0.08,0.16,,
brownol02,1221.0,3642.0,404.0,964.0,144.0,11.0,102.0,454.0,30.0,27.0,616.0,97.0,376.0,39.0,1436.0,257.0,0.265,0.33,0.39399999999999996,0.7240000000000001,0.0,0.0
brownos01,160.0,316.0,34.0,77.0,14.0,2.0,4.0,28.0,0.0,4.0,55.0,6.0,18.0,3.0,107.0,20.0,0.244,0.282,0.33899999999999997,0.621,,
brownpe01,1183.0,4820.0,954.0,1646.0,295.0,85.0,46.0,659.0,258.0,0.0,167.0,0.0,495.0,0.0,2249.0,426.0,0.341,0.40299999999999997,0.467,0.87,0.0,0.0
brownpi01,65.0,100.0,8.0,21.0,4.0,2.0,1.0,10.0,0.0,0.0,9.0,8.0,13.0,1.0,32.0,7.0,0.21,0.298,0.32,0.618,,
brownra02,18.0,29.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,5.0,1.0,0.138,0.28600000000000003,0.172,0.45799999999999996,,
brownro01,228.0,442.0,44.0,111.0,32.0,2.0,11.0,69.0,3.0,3.0,98.0,9.0,41.0,8.0,180.0,45.0,0.251,0.31,0.40700000000000003,0.7170000000000001,,
brownsa01,141.0,439.0,29.0,88.0,12.0,1.0,0.0,34.0,4.0,0.0,0.0,0.0,33.0,15.0,102.0,13.0,0.2,0.248,0.23199999999999998,0.48,,
brownto01,1786.0,7363.0,1521.0,1951.0,239.0,138.0,64.0,736.0,657.0,0.0,708.0,0.0,794.0,25.0,2658.0,441.0,0.265,0.335,0.361,0.696,0.0,0.0
brownto02,494.0,1280.0,151.0,309.0,39.0,7.0,31.0,159.0,7.0,4.0,142.0,39.0,91.0,13.0,455.0,77.0,0.24100000000000002,0.289,0.355,0.644,0.0,0.0
brownto03,61.0,116.0,8.0,17.0,4.0,0.0,1.0,4.0,2.0,1.0,45.0,0.0,12.0,0.0,24.0,5.0,0.147,0.22699999999999998,0.207,0.434,,
browntr01,13.0,39.0,1.0,9.0,3.0,0.0,0.0,5.0,1.0,1.0,8.0,0.0,3.0,1.0,12.0,3.0,0.231,0.27899999999999997,0.308,0.5870000000000001,,
