player_id,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB,inducted
menefjo01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,70,139,111,7,0,3334.0,1289,471,19,293,303.0,3.81,1.433,4.131,2.37,2.45,0.97,0.0
meekijo01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,133,324,270,9,2,7810.0,2831,1177,67,900,1089.0,4.07,1.506,-12.203,3.11,3.76,0.83,0.0
merckke01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,67,692,2,1,25,3976.0,1307,612,154,917,686.0,4.16,1.504,0.257,6.23,4.66,1.34,0.0
merriji01,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,86,297,56,9,7,4449.0,1468,602,160,932,392.0,3.65,1.254,0.254,5.66,2.38,2.38,0.0
mesajo01,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80,109,1022,6,2,321,4646.0,1629,750,151,1038,763.0,4.36,1.545,0.272,6.03,4.43,1.36,0.0
mcmicgr01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,29,453,0,0,53,1569.0,483,189,42,459,250.0,3.25,1.402,0.24600000000000002,7.9,4.3,1.84,0.0
mcmahsa01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,127,321,279,14,4,7902.0,2726,1026,52,967,970.0,3.51,1.403,0.691,3.3,3.31,1.0,0.0
mclisca01,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,92,352,57,5,6,4827.0,1685,715,164,713,623.0,4.0,1.4340000000000002,0.267,3.99,3.48,1.14,0.0
meadobr01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,62,336,3,0,10,2882.0,1146,539,139,454,322.0,5.05,1.528,0.299,4.25,3.02,1.41,0.0
mcwilla01,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,90,370,34,13,3,4675.0,1548,690,137,940,652.0,3.99,1.412,0.256,5.43,3.77,1.44,0.0
medicdo01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,105,312,71,16,2,5989.0,2036,836,151,955,707.0,3.77,1.374,0.262,4.31,3.19,1.35,0.0
mecirji01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,35,474,0,0,12,1581.0,482,221,41,450,276.0,3.77,1.4380000000000002,0.24600000000000002,7.69,4.71,1.63,0.0
mcquige01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,89,273,105,17,14,4729.0,1382,417,23,590,431.0,2.38,1.15,0.23600000000000002,3.37,2.46,1.37,0.0
